# Depth/cm Cu/ppm Cr/ppm Fe/ppm Co/ppm Pb/ppm U/ppm
0.000000000000000000e+00 9.824598569122288794e+00 1.445452040663120385e+02 3.915068660597582493e+03 1.013057022017486162e+02 1.546376544173836187e+01 5.877287069404950159e+00
5.000000000000000000e-01 3.409055021851414402e+00 1.179277308789702232e+02 6.195922772414023711e+03 1.613954957112314403e+01 5.903597656923363246e+00 1.560205631115906577e+01
1.000000000000000000e+00 2.781286991762554806e+01 1.029509098587831630e+02 3.377630864559429028e+03 1.619975688742296782e+01 5.746842694492337955e+01 1.147031143575440915e+01
1.500000000000000000e+00 1.096425442969113107e+01 5.258003881247613975e+01 5.011381055332997676e+03 2.255742272175815355e+00 3.249826844478620558e+01 1.490659351797608601e+01
2.000000000000000000e+00 3.399126210340896570e+00 8.849758731642590703e+01 3.349034540213298897e+03 1.602176595884489174e+01 6.306074797028453816e+01 1.379082436401352574e+01
2.500000000000000000e+00 7.458884990617848487e+00 8.250706135678160535e+01 6.753562258106875561e+03 2.530016592465677761e+01 4.722898451606957337e+01 5.135841921388651699e+00
3.000000000000000000e+00 6.475612849117246661e+00 8.000713897560352450e+01 5.920659846897834541e+03 1.507774117500469302e+01 3.659939602093291455e+01 7.470663904351233953e+00
3.500000000000000000e+00 5.105047987119400332e+00 1.364322170273593997e+02 1.093218076017240674e+04 4.588681841510638293e+00 6.704689383733719410e+01 9.395416506116928801e+00
4.000000000000000000e+00 2.569263152606900746e+01 6.802450094044414186e+01 7.607059483450195330e+03 8.361170480870201871e+00 4.387509990268441129e+01 6.905251808964059101e+00
4.500000000000000000e+00 1.378562070312947618e+01 8.533770215902313794e+01 5.363221692008218270e+03 1.344829154635007455e+02 3.670634999591717929e+01 4.396314620077141022e+00
5.000000000000000000e+00 6.477216714828696986e+00 1.126267571714070783e+02 6.164697435932943336e+03 1.796107403714265915e+00 2.077567399729324293e+01 9.789283859348499206e+00
5.500000000000000000e+00 6.955558716975107636e+00 1.372669727803155979e+02 6.154325840908916689e+03 1.766406327715390745e+01 1.770646362253241790e+01 1.143269728942094332e+01
6.000000000000000000e+00 4.050070640493299123e+00 6.055370540563950499e+01 3.511455931750238051e+03 6.848880340948444001e+00 3.166174280693602583e+01 8.582882966380344314e+00
6.500000000000000000e+00 2.541287129065002759e+00 1.740062186559065083e+02 4.547643110784899363e+03 8.386865564743187562e+00 2.673222539648121909e+01 1.289585233028486044e+01
7.000000000000000000e+00 4.493582630322985771e+00 1.048794451957867295e+02 6.027979895397006658e+03 3.983926809251645107e+00 2.563078083243934913e+01 5.231799232394155119e+00
7.500000000000000000e+00 5.627224805209368519e+00 6.475490966987710806e+01 3.963975508400420949e+03 9.839496718532817710e+00 2.657337273900655106e+01 5.796965816722980058e+00
8.000000000000000000e+00 1.595927743936143672e+00 1.345106009915491541e+02 8.022489720743276848e+03 1.352681712948163550e+01 6.031544279573685685e+01 6.542237090393926202e+00
8.500000000000000000e+00 8.295956903875875810e+00 1.043482263898796560e+02 2.967344908633110663e+03 5.614143035263746917e+00 9.281593041300598657e+01 1.020069584241872640e+01
9.000000000000000000e+00 8.252425273352745450e+00 9.692134194118671076e+01 6.136078732185916124e+03 8.418614752422900693e+00 6.484406228127971872e+01 6.766667914971035813e+00
9.500000000000000000e+00 5.160728423746133942e+00 8.548066334536038369e+01 2.636165810313531438e+03 1.026521546332217305e+01 2.332567464400109003e+01 1.105416416158899828e+01
1.000000000000000000e+01 7.024100428641506078e+00 1.442006364353006802e+02 5.502382430310031850e+03 2.809791838306432155e+01 3.648106253933865872e+01 1.227183314564756600e+01
1.050000000000000000e+01 3.629667730367723166e+00 6.409453148412244161e+01 3.066151662058090096e+03 2.422215492803191594e+01 6.476231591859468040e+01 2.174523888244630498e+01
1.100000000000000000e+01 9.455716671391728667e+00 1.052452459735458348e+02 6.057754493292230109e+03 1.203731233291630254e+01 5.593787565150969243e+01 6.612142791325116953e+00
1.150000000000000000e+01 4.910623698155458072e+00 9.192329213785644981e+01 7.569100843965234162e+03 6.556108178028472011e+00 1.138356414277859301e+02 8.583810983441400921e+00
1.200000000000000000e+01 4.031601913012814720e+01 9.162071224110367496e+01 5.273928400833091473e+03 4.425027930288674582e+00 3.474080956598719183e+01 1.703090988833869801e+01
1.250000000000000000e+01 5.210518338666755511e+00 1.039498254380083324e+02 2.928035476785124956e+03 2.538971317389019333e+01 6.980203999959664429e+01 6.429831604408527745e+00
1.300000000000000000e+01 1.017700437293588500e+01 9.023330142102113882e+01 7.136114388515431529e+03 5.482075827384536915e+00 5.049637966330299577e+01 7.277596204280825987e+00
1.350000000000000000e+01 1.150795101129490305e+01 1.179487905145766717e+02 5.014200834746425244e+03 2.823617330196324815e+01 2.604913108534603339e+01 7.214989318347035052e+00
1.400000000000000000e+01 7.336114355490826355e+00 5.997675782781810483e+01 1.130272434214934583e+04 4.082070698413944854e+01 1.208876402646403392e+01 6.044164809976876995e+00
1.450000000000000000e+01 2.236411735441829141e+00 1.356173575524864248e+02 4.555311349856453489e+03 1.585942088968904606e+01 2.798342814268204393e+01 5.083670217635137156e+00
1.500000000000000000e+01 4.625145181420791118e+00 1.145893377862686862e+02 3.960687260637223972e+03 1.542107144037033883e+01 7.979791375710084367e+01 8.933121988687632964e+00
1.550000000000000000e+01 3.153398902920710789e+00 6.958134567951971405e+01 1.040163078941945969e+04 3.740161161353845642e+01 2.946558993083533551e+01 1.562980363625764646e+01
1.600000000000000000e+01 9.721641736413236146e+00 1.029185726919986479e+02 1.943311723734041152e+04 9.434941634828840407e+00 8.268625764083763841e+01 9.614740155200438565e+00
1.650000000000000000e+01 2.568917537889609637e+00 8.125024624667977946e+01 1.375174605140420681e+04 9.806882527132877669e+00 2.228403761837913777e+01 1.630555072837725206e+01
1.700000000000000000e+01 1.207170951559260885e+01 8.195794767922568269e+01 1.012645703754089664e+04 3.655763150509591952e+01 2.030872986541109526e+01 1.113814200842209701e+01
1.750000000000000000e+01 1.011731172933426492e+01 8.699071672961915169e+01 1.423163132476820647e+04 1.566092563362182943e+01 1.587270860670823325e+01 9.446712319746337627e+00
1.800000000000000000e+01 1.099622488970211531e+00 1.008281175672820495e+02 1.410147925795375340e+04 5.852755658231699698e+01 8.436932627959471631e+01 1.484905298272371610e+01
1.850000000000000000e+01 4.708461156553174654e+00 9.826626953605200754e+01 1.443173555666993707e+04 2.120981986297544708e+01 1.974430554516261793e+01 8.553996895801843081e+00
1.900000000000000000e+01 1.479707717839566605e+01 1.271508243724163520e+02 6.493438656721094048e+03 1.615063499581092410e+00 2.848658127970340814e+01 1.085370485600267010e+01
1.950000000000000000e+01 8.130922166594508838e+00 1.195978163074845924e+02 9.848353205349345444e+03 1.216694032919785151e+01 2.629535832018861186e+01 8.291427246875828772e+00
2.000000000000000000e+01 3.615533147309800022e+00 8.351493002914541819e+01 7.884702448752129385e+03 1.283088308833587021e+01 1.034009471713097810e+02 1.202610981822857106e+01
2.050000000000000000e+01 2.469697022209333959e+00 1.025645450792902125e+02 9.481730079127835779e+03 1.145708968608576228e+01 5.172195106349174409e+01 1.542566372819780263e+01
2.100000000000000000e+01 2.986630251281429782e+00 1.171918251596954121e+02 1.115421488250221410e+04 1.349590329271948974e+01 1.150249551671797832e+01 1.643798928276051541e+01
2.150000000000000000e+01 3.266051176935007128e+00 1.541157449398197343e+02 4.443647272486656220e+03 9.096636028457956158e+00 5.917962266487386813e+01 9.046668410547912487e+00
2.200000000000000000e+01 3.931869357452817404e+00 1.869999496856495966e+02 5.372348031754511794e+03 6.139920114534668016e+00 3.506655059911051353e+01 8.350709208136114725e+00
2.250000000000000000e+01 9.855002664619890496e+00 8.257246682838611207e+01 9.628651700858632466e+03 2.743174608067157738e+00 3.646320886041721820e+01 8.019145149094482505e+00
2.300000000000000000e+01 5.656326778076481432e+00 7.291849888771642441e+01 1.149107575008002459e+04 1.040113868100500305e+01 2.383414556249470024e+02 1.044749607910294209e+01
2.350000000000000000e+01 4.809080816826146076e+00 8.524015913928940336e+01 8.660392524189568576e+03 7.809838355621215200e+00 5.354766753349829145e+01 1.055071793058605145e+01
2.400000000000000000e+01 5.725398591189543751e+00 1.198080937652285201e+02 1.730132350299220889e+03 2.800703848333616719e+01 3.322570981948511104e+01 1.393798760271694270e+01
2.450000000000000000e+01 4.928583285222304156e+00 8.470925530718065488e+01 7.693141983092128612e+03 9.265848526680287023e+00 5.514746286455340396e+01 1.573957801874354345e+01
2.500000000000000000e+01 1.136213261810671504e+01 7.026647684644731839e+01 8.363673848750744583e+03 8.483090398762076489e+00 4.105082715869870924e+01 9.582630219247493031e+00
2.550000000000000000e+01 8.829265741731887829e+00 8.139515748459366762e+01 3.995190548347550703e+03 5.207910820601396651e+00 1.321587740904217334e+01 1.097597833044763682e+01
2.600000000000000000e+01 7.558997011302281521e+00 9.535645239029450693e+01 1.252379823255385418e+04 2.756257520122453286e+00 2.014842350538243920e+01 8.604784698221516592e+00
2.650000000000000000e+01 5.150623002147234786e+00 1.017352257232971482e+02 3.751531000539023808e+03 2.021198818253319729e+01 6.088678114632817717e+00 1.031479735825687527e+01
2.700000000000000000e+01 1.422978557977406844e+01 9.666237316171188354e+01 6.693865334525258731e+03 4.645612647761767988e+01 9.982311444663544364e+00 1.108636056315159557e+01
